TLD,Count
joy,1
open,1
htc,1
hughes,1
kuokgroup,1
map,1
lotte,1
hotels,1
marshalls,1
jlc,1
kosher,1
oldnavy,1
hot,1
ollo,1
off,1
mckinsey,1
mcd,1
imdb,1
maserati,1
loft,1
orientexpress,1
kindle,1
icbc,1
pccw,1
kerryproperties,1
gbiz,1
kerrylogistics,1
kerryhotels,1
kddi,1
juniper,1
gallo,1
phone,1
gap,1
gallup,1
pay,1
origins,1
ibm,1
panerai,1
iinet,1
ott,1
kinder,1
ggee,1
lpl,1
pamperedchef,1
lplfinancial,1
george,1
pars,1
macys,1
jot,1
glade,1
jeep,1
msd,1
mopar,1
iveco,1
montblanc,1
lifeinsurance,1
natura,1
hkt,1
nba,1
like,1
latino,1
mobily,1
mobile,1
mormon,1
grocery,1
hgtv,1
hbo,1
mtpc,1
movistar,1
hangout,1
homesense,1
hdfc,1
moto,1
mutuelle,1
lefrak,1
lds,1
guge,1
homedepot,1
netflix,1
lasalle,1
nissay,1
goodhands,1
honeywell,1
norton,1
goldpoint,1
metlife,1
nowtv,1
merckmsd,1
lacaixa,1
jcp,1
meo,1
llp,1
lipsy,1
goodyear,1
homegoods,1
newholland,1
got,1
mls,1
mcdonalds,1
mitsubishi,1
lancome,1
lancia,1
mint,1
intuit,1
lamer,1
nikon,1
삼성 (xn--cg4bki),1
pramerica,1
tdk,1
thd,1
淡马锡 (xn--b4w605ferd),1
tiaa,1
tiffany,1
pnc,1
アマゾン (xn--cckwcxetd),1
sina,1
微博 (xn--9krt00a),1
telecity,1
showtime,1
shouji,1
silk,1
telefonica,1
shia,1
wtc,1
католик (xn--80aqecdr1a),1
नेट (xn--c2br7g),1
时尚 (xn--9et52u),1
tci,1
sling,1
大众汽车 (xn--3oq18vl8pn36a),1
spot,1
srt,1
通販 (xn--gk3at1e),1
pin,1
staples,1
pid,1
ком (xn--j1aef),1
starhub,1
piaget,1
亚马逊 (xn--jlq480n2rg),1
诺基亚 (xn--jlq61u9w7b),1
spiegel,1
電訊盈科 (xn--fzys8d69uvgm),1
ポイント (xn--eckvdtc9d),1
新闻 (xn--efvy88h),1
工行 (xn--estv75g),1
taobao,1
كوم (xn--fhbei),1
talk,1
smile,1
playstation,1
tab,1
谷歌 (xn--flw351e),1
song,1
swiftcover,1
stcgroup,1
shaw,1
visa,1
wanggou,1
richardli,1
sapo,1
weather,1
weatherchannel,1
save,1
weibo,1
uconnect,1
reliance,1
ubank,1
sca,1
tushu,1
samsclub,1
walmart,1
rightathome,1
vista,1
vistaprint,1
viva,1
virgin,1
rocher,1
rmit,1
room,1
viking,1
safe,1
safety,1
ril,1
verisign,1
tunes,1
winners,1
慈善 (xn--30rr7y),1
search,1
secure,1
seek,1
点看 (xn--3pxu8k),1
คอม (xn--42c2d9a),1
tmall,1
tkmaxx,1
tjx,1
tjmaxx,1
shangrila,1
progressive,1
scor,1
कॉम (xn--11b4c3d),1
wolterskluwer,1
travelchannel,1
read,1
raid,1
wow,1
qvc,1
scholarships,1
scjohnson,1
xerox,1
xfinity,1
xihuan,1
香格里拉 (xn--5su34j936bgsg),1
airtel,1
fedex,1
accenture,1
circle,1
farmers,1
free,1
cbre,1
alipay,1
ferrari,1
frontier,1
fast,1
frontdoor,1
fiat,1
flsmidth,1
afamilycompany,1
active,1
chrysler,1
foodnetwork,1
capitalone,1
abarth,1
fire,1
cartier,1
cipriani,1
agakhan,1
aigo,1
final,1
adac,1
caseih,1
fido,1
fidelity,1
chloe,1
dabur,1
comsec,1
bananarepublic,1
banamex,1
baidu,1
boehringer,1
dish,1
bofa,1
bom,1
comcast,1
book,1
booking,1
dodge,1
avianca,1
bnl,1
calvinklein,1
data,1
bbt,1
datsun,1
bestbuy,1
dclk,1
dds,1
bharti,1
cruise,1
baseball,1
delta,1
barefoot,1
coupon,1
blockbuster,1
doha,1
boots,1
budapest,1
alibaba,1
aol,1
epost,1
buy,1
clinique,1
alfaromeo,1
cal,1
esurance,1
etisalat,1
americanfamily,1
call,1
cityeats,1
arab,1
aramco,1
dot,1
author,1
drive,1
dtv,1
duck,1
dunlop,1
duns,1
bosch,1
dvr,1
audible,1
athleta,1
asda,1
citadel,1
bv,N/A
doosan,N/A
gb,N/A
sj,N/A
tp,N/A
مليسيا (xn--mgbx4cd0ab),N/A
